Series Name,"Series Code","Country Name","Country Code","1960 [YR1960]","1970 [YR1970]","1980 [YR1980]","1990 [YR1990]","2000 [YR2000]","2001 [YR2001]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]"
"Population, total","SP.POP.TOTL","Kiribati","KIR","41234","51181","59340","72411","84406","85858","94257","96310","98437","100566","102648","104662","106620","108544","110470",".."
"Population, total","SP.POP.TOTL","Korea, Dem. Rep.","PRK","11424179","14410400","17372167","20194354","22840218","23043441","23969897","24111945","24243829","24371806","24500506","24631359","24763353","24895705","25026772",".."
"Population, total","SP.POP.TOTL","Korea, Rep.","KOR","25012374","32240827","38123775","42869283","47008111","47357362","48371946","48597652","48948698","49182038","49410366","49779440","50004441","50219669","50423955",".."
"Population, total","SP.POP.TOTL","Kosovo","KSV","947000","1219000","1521000","1862000","1700000","1701154","1719536","1733404","1747383","1761474","1775680","1790957","1805200","1818117","1823149",".."
"Population, total","SP.POP.TOTL","Kuwait","KWT","261962","750184","1384342","2058832","1929470","1990022","2389498","2538591","2705290","2881243","3059473","3239181","3419581","3593689","3753121",".."
"Population, total","SP.POP.TOTL","Kyrgyz Republic","KGZ","2172300","2959900","3617400","4391200","4898400","4945100","5218400","5268400","5318700","5383300","5447900","5514600","5607200","5719600","5834200",".."
"Population, total","SP.POP.TOTL","Lao PDR","LAO","2119944","2686025","3252701","4247839","5342879","5424701","5838837","5939634","6045439","6153153","6260544","6366909","6473050","6579985","6689300",".."
"Population, total","SP.POP.TOTL","Latvia","LVA","2120979","2359164","2511701","2663151","2367550","2337170","2218357","2200325","2177322","2141669","2097555","2059709","2034319","2012647","1990351",".."
"Population, total","SP.POP.TOTL","Lebanon","LBN","1804927","2297403","2605294","2703019","3235380","3359875","4057041","4085426","4109389","4181742","4337156","4388637","4440728","4493438","4546774",".."
"Population, total","SP.POP.TOTL","Lesotho","LSO","851412","1032240","1307403","1597534","1856225","1871489","1940345","1955656","1972194","1990413","2010586","2032950","2057331","2083061","2109197",".."
"Population, total","SP.POP.TOTL","Liberia","LBR","1120314","1419728","1892529","2102877","2891968","2998770","3384804","3522337","3672782","3821498","3957990","4079574","4190155","4293692","4396554",".."
"Population, total","SP.POP.TOTL","Libya","LBY","1434576","2114264","3191304","4398419","5337264","5428303","5907149","6017794","6123022","6208680","6265697","6288652","6283403","6265987","6258984",".."
"Population, total","SP.POP.TOTL","Liechtenstein","LIE","16504","21266","25869","28745","33282","33663","35141","35431","35721","36004","36276","36537","36791","37040","37286",".."
"Population, total","SP.POP.TOTL","Lithuania","LTU","2778550","3139689","3413202","3697838","3499536","3470818","3269909","3231294","3198231","3162916","3097282","3028115","2987773","2957689","2929323",".."
